1- O que é pentateuco?	1- it-3 p. 223 / Pentateuco: Esta forma aportuguesada da palavra grega (que significa “cinco rolos” ou “volume quíntuplo”) refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.
417 - Amonita, oponente de Neemias. 	417 - (Neemias 2:19) TOBIAS
418 - Rei de Moabe morto por Eúde. 	418 - (Juízes 3:16-25) EGLOM
419 - Profeta designado para proclamar os julgamentos de Jeová contra Nínive. 	419 - (Jonas 1:1, 2) JONAS
420 - Mulher judia, irmã de Maria e Lázaro de Betânia. 	420 - (João 11:1, 2) MARTA
421 - Monte onde Baraque reuniu 10.000 homens para lutar contra Sísera. 	421 - (Juízes 4:6, 12) TABOR
422 - Juiz de Israel que matou 600 filisteus com uma aguilhada de gado. 	422 - (Juízes 3:31) SANGAR
423 - Profeta, filho de Amoz e contemporâneo dos reis Uzias, Jotão, Acaz e Ezequias. 	423 – (Isaías 1:1) ISAÍAS
424 - Jael cravou uma estaca de tenda na cabeça deste chefe de exército. 	424 - (Juízes 5:24-27) SÍSERA
425 - Primeiro elemento do nome composto do eunuco etíope que tirou Jeremias da cisterna lamacenta. 	425 - (Jeremias 38:7-13) EBEDE
426 - Última letra do alfabeto grego, usada como título aplicado a Jeová.	426 - Revelação 1:8,  ÔMEGA
427 - Desejo descomedido ou voraz. 	427 - (Provérbios 10:3; 11:6) AVIDEZ
428 - Apóstata do primeiro século, mencionado por Paulo como falso instrutor no que se refere à ressurreição. 	428 - (2 Timóteo 2:17, 18) FILETO
429 - Monte onde o anjo de Jeová apareceu a Moisés no meio de um espinheiro ardente. 	429 - (Êxodo 3:1-5) HOREBE
430 - Chefe do exército sírio curado de lepra por Eliseu. 	430 - (Lucas 4:27) NAAMÃ
431 - Aldeia para a qual Cléopas e outro discípulo se dirigiam quando Jesus se juntou a eles no dia de sua ressurreição. 	431 - (Lucas 24:13-33) EMAÚS
432 - Cidade que, apesar de pequena, destacou-se como lugar de onde veio o Messias. 	432 - (Miquéias 5:2; João 7:42) BELÉM
433 - Pai tanto de Baruque, secretário de Jeremias, como de Seraías, que leu a denúncia contra Babilônia. 	433 - (Jeremias 32:12; 51:59-64) NERIAS
434 - Nome aramaico de Dorcas. 	434 - (Atos 9:36) TABITA
435 - Chefe de exército que, após a morte de Saul, estabeleceu Is-Bosete, filho de Saul, como rei em oposição a Davi. 	435 - (2 Samuel 2:8-10) ABNER
436 - O que Paulo, Silvano e Timóteo demonstraram ser para com seus irmãos. 	436 - (1 Tessalonicenses 1:1; 2:7) MEIGOS
437 - Às ordens de Jeová, este profeta tomou uma "esposa de fornicação", para comparar ao relacionamento de Jeová com Israel. 	437 - (Oséias 1:2-11) OSEIAS
438 - O filho de Elisabete pulou em seu ventre quando ela ouviu o cumprimento desta sua parenta. 	438 - (Lucas 1:41) MARIA
439 - Antigo nome de Jerusalém. 	439 - (Juízes 19:10, 11) JEBUS
440 - Terceira palavra que apareceu milagrosamente escrita na parede do salão de festas de Belsazar. 	440 - (Daniel 5:25) Tequel
441 - Cobrador de impostos de Jericó que se tornou discípulo de Cristo. 	441 - (Lucas 19:1, 2, 8) Zaqueu
442 - Uma das quatro cidades fundadas por Ninrode. 	442 - (Gênesis 10:10) Acade
443 - Esposa de Ananias. Ela e o marido foram mortos por terem conspirado e mentido. 	443 - (Atos 5:1-11) Safira
444 - Filho de Acbor. Foi enviado ao Egito pelo Rei Jeoiaquim para trazer de volta o profeta Urijá a fim de matá-lo. 	444 - (Jeremias 26:22, 23) Elnatã
445 - Fariseu em cuja casa Jesus jantou e teve seus pés untados com óleo perfumado por uma mulher pecaminosa. 	445 - (Lucas 7:36-50) Simão
446 - Um sexto desta medida de água era o que Ezequiel teria como ração diária ao encenar a condição da Jerusalém sitiada. 	446 - (Ezequiel 4:11) him
447 - Planta de brejo. Entre estas plantas Moisés foi colocado, quando pequeno, no Nilo. 	447 - (Êxodo 2:1-10) junco
448 - Nome-título aplicado a Jesus, significando "Conosco está Deus".	448 - Mateus 1:23 Emanuel
449 - Ano de liberdade; o ano que seguia todo o ciclo de sete períodos de sete anos. 	449 - (Levítico 25:8, 10) jubileu
450 - Hábil comandante que conduziu os israelitas à derrubada de Jericó. 	450 - (Josué 6:2, 24, 25) Josué
451 - Enquanto estava preso, Jeremias recebeu este alimento como ração diária. 	451 - (Jeremias 37:21) pão
452 - Ave magnífica importada por Salomão. 	452 - (1 Reis 10:22) pavão
453 - Mansos, brandos. Em 1 Tessalonicenses 2:7, Paulo descreve a si e seus companheiros como tendo esta qualidade.	453 - 1 Tessalonicenses 2:7 meigos
454 - Nome-título aplicado a vários reis amalequitas. 	454 - (1 Samuel 15:8) Agague
455 - Procurador da província romana da Judéia que manteve Paulo preso por dois anos. 	455 - (Atos 24:24-27) Félix
456 - Cidade filistéia e centro religioso da adoração de Dagom. 	456 - (1 Samuel 5:1, 2) Asdode
457 - O peixe que o ressuscitado Jesus comeu diante dos discípulos em Emaús foi preparado desta forma. 	457 - (Lucas 24:42, 43) assado
458 - Jonas tentou fugir de sua designação indo para essa região. 	458 - (Jonas 1:1-3) Társis
459 - Planta que, segundo provérbios, cobre o terreno do preguiçoso.	459 -  Provérbios 24:31 urtiga
460 - Tanque para pisar uvas ou azeitonas. 	460 - (Números 18:30; Neemias 13:15) lagar
461 - O que faz aquele que difama maliciosamente. 	461 - (Salmo 101:5) calúnia
462 - Esposa de Hamã que, junto com outros, propôs que ele erigisse uma estaca para pendurar Mordecai. 	462 - (Ester 5:14) Zeres
463 - Termo usado para designar a que família o sogro de Moisés pertencia. 	463 - (Juízes 1:16) queneu
464 - Cristão de Roma, a quem Paulo envia cumprimentos. 	464 - (Romanos 16:9) Urbano
465 - Termo aplicado aos que têm propósitos e objetivos similares, como no caso de Jonatã e Davi. 	465 - (2 Samuel 1:26) irmão
466 - Ilha do Mediterrâneo, cujos habitantes, segundo seu próprio profeta, eram 'mentirosos e feras prejudiciais'.	466 - (Tito 1:10-12) Creta
467 - Lugar onde Jesus apareceu por nós perante a pessoa de Deus. 	467 - (Hebreus 9:24) céu
468 - Ele ajudou Arão a segurar as mãos de Moisés até Jeová dar a vitória sobre os amalequitas. 	468 - (Êxodo 17:8-13) Hur
469 - Segundo filho que Bila, serva de Raquel, deu à luz a Jacó. 	469 - (Gênesis 35:25) Naftali
470 - Primeira das três filhas de Jó nascidas após sua prova. 	470 - (Jó 42:13, 14) Jemima
471 - Termo aplicado aos designados oficialmente como reis em Israel. 	471 - (1 Samuel 24:10;Salmo 18:50) ungido
472 - Seu significado literal é "Festas de Amor". A Bíblia não descreve como eram, nem foram ordenadas por Jesus; são citadas apenas em Judas 12.	472 - Judas 12 agapes
473 - Fabricante de panelas e vasos de barro. 	473 - (Jeremias 18:4; Isaías 29:16) oleiro
474 - Embora os eventos citados nos Salmos 79 e 80 tenham ocorrido posteriormente, eles são atribuídos a este personagem por terem sido escritos por seus descendentes.	474 - Salmos 79 e 80 Asafe
475 - Receptáculo aos cuidados de Judas, que continha o dinheiro dos apóstolos para ajuda aos necessitados. 	475 - (João 12:6; 13:29) caixa
476 - Um dos três companheiros de Jó; naamatita. 	476 - (Jó 2:11) Zofar
477 - Doença que Uzias teve em resultado de seu ato presunçoso. 	477 - (2 Crônicas 26:18, 19) lepra
478 - Discípulo de João, o Batizador, que logo se convenceu de ter encontrado o Messias e informou isso a seu irmão Simão Pedro. 	478 - (João 1:36-41) andré
479 - Material usado por Jesus ao curar um cego. 	479 - (João 9:6, 7) Lama
480 - Procônsul da Acaia que não aceitou a acusação dos judeus contra Paulo, o que resultou no espancamento de Sóstenes, presidente da sinagoga. 	480 - (Atos 18:12-17) Gálio
481 - Abner teve relações com esta concubina de Saul, após a morte deste. 	481 - (2 Samuel 3:7, 8) Rispa
482 - Arte secreta com poder sobrenatural, condenada pela Bíblia. 	482 - (Levítico 19:26b) magia
483 - Provavelmente nome simbólico de Babilônia. 	483 - (Jeremias 51:41) Sesaque
484 - Designado por Jeová para atuar como porta-voz de Moisés. 	484 - (Êxodo 4:14-16) Arão
485 - Ao profetizar que Pedro o negaria, Jesus fez menção desta ave. 	485 - (Mateus 26:34) galo
486 - O profeta Isaías fala de se lançarem os deuses de prata e os de ouro diante desses mamíferos.	486 - (Isaías 2:20) morcego
487 - Arma usada por Saul para tentar cravar Davi na parede. 	487 - (1 Samuel 18:10, 11) lança
488 - Levita que se casou com Joquebede e se tornou pai de Miriã, Arão e Moisés.	488 -  (Êxodo 6:20; Números 26:59) Anrão
489 - Cristã a quem Paulo enviou cumprimentos em Colossenses 4:15, em cuja casa se realizavam reuniões congregacionais.	489 - Colossenses 4:15 Ninfa
490 - Parteira hebréia que recebeu de Faraó ordens de matar todos os meninos hebreus logo após seu nascimento. 	490 - (Êxodo 1:15-21) Síria
491 - Como sinal de confirmação de que fora escolhido para ser rei, Saul devia encontrar-se com dois homens neste local e receber uma mensagem sobre as jumentas de seu pai. 	491 - (1 Samuel 10:1, 2) Zalza
492 - Branda, macia, em se falando de língua falsa. 	492 - (Romanos 16:18) suave
493 - Forma causativa, no imperfeito, do verbo hebraico que significa "Ele Causa que Venha a Ser".	493 -  (Gênesis 2:4, segunda nota, NM com Referências) Jeová
494 - Comissário da cidade de Siquém, que informou Abimeleque sobre a revolta de Gaal. 	494 - (Juízes 9:30-32) Zebul
495 - O que a resposta branda faz recuar? 	495 - (Provérbios 15:1) furor
496 - Nome secundário ou alcunha dada a Esaú. 	496 - (Gênesis 36:1) Edom
497 - Hastes secas de vegetais que os israelitas misturavam com barro ao fabricar tijolos. 	497 - (Êxodo 5:7) palha
498 - Nicodemos doou mirra e esta substância para a preparação do corpo de Jesus. 	498 - (João 19:39, 40) aloés
499 - Por ocasião de sua morte, o que José pediu aos filhos de Israel que levassem para fora do Egito quando fossem libertados? 	499 - (Gênesis 50:25) ossos
500 - Em Ezequiel, capítulos 38 e 39, este nome é aplicado ao líder cujo ataque contra o povo de Deus é comparado a uma tempestade.	500 - Ezequiel, capítulos 38 e 39 Gogue
501 - Acaz, com medo da conspiração siro-israelita, em vez de confiar em Jeová, tentou subornar o rei desse país e acabou tornando-se vassalo dele. 	501 - (2 Reis 16:7; 2 Crônicas 28:20) Assíria
502 - Caverna onde os cinco reis coligados contra os gibeonitas se esconderam e ficaram encurralados até serem executados. 	502 - (Josué 10:16-26) Maquedá
503 - Lugar onde o tesoureiro da rainha Candace estava sentado quando conversou com Filipe.	503 - (Atos 8:27-30) carro
504 - Ilha do Mediterrâneo onde Paulo naufragou. 	504 - (Atos 27:41; 28:1) Malta
505 - Pai do juiz Sansão. 	505 - (Juízes 13:2-7, 24) Manoá
506 - Recipientes de pele, usados para diversos líquidos. 	506 - (Mateus 9:17) odres
507 - Opositor de Moisés, a quem Paulo compara os apóstatas que resistem à verdade. 	507 - (2 Timóteo 3:8, 9) Janes
508 - Material que Abraão colocou sobre Isaque quando estava para oferecê-lo em sacrifício. 	508 - (Gênesis 22:6) lenha
509 - Criança que recebeu atenção especial de Jeová na Lei mosaica. 	509 - (Êxodo 22:22; Isaías 1:17) órfão
510 - Província onde Paulo foi levado, pelos judeus, perante Gálio. 	510 - (Atos 18:12) Acaia
511 - Uma das servas de Labão, que ele deu à sua filha Raquel quando esta se casou com Jacó. 	511 - (Gênesis 29:29) Bila
512 - De acordo com o Manual Beneficie-se, qual é o 1º estudo como melhorar?	 512 - be estudo 1 p. 83-p. 85 par. 3 Leitura Exata
513 - Em que ano foi lançado o Fotodrama da Criação, por Charles Tazze Russell?	513 - Livro O Reino de Deus já Governa Cap. 7 pag 70 paragrafo 8 /  Foi lançado em 1914. 
514 - Em que mês e ano foi lançando o programa JWBroadcasting em Português	514 - Maio de 2015 e foi apresentado pelo irmão Stephen Lett
515 - Qual foi o tema do congresso regional de 2016?	515 - O tema do congresso regional de 2016 foi "Continue Leal a Jeová"
516 - Qual foi o tema do congresso regional de 2015?	516 - O tema do congresso regional de 2015 foi "Imite a Jesus"
517 - Qual foi o tema do congresso regional de 2017? 	517- O tema do congresso regional de 2017 foi "Não desista!"
518 - Diga o nome da cidade, cenário onde biblicamente aconteceu a história retradada no filme :  "Ande pela Fé, Não pela vista".	518 - Este filme aborda a destruição da cidade de Jerusalém. Resposta: "Jerusalém"
519 - Na idade média, a sabedoria popular dizia que a Terra era plana. Mas, 700 AEC a Bíblia já falava sobre o circulo da terra. Qual é este texto bíblico? 	519 - Isaias 40:22 "Há Um que mora acima do circulo da Terra".
520 - Em oração a Deus, o Rei Davi expressou o principio do papel genético ereditário de cada pessoa ao dizer:  "Teus olhos até mesmo me viram quando eu era um embrião; Todas as partes dele estavam escritas no teu livro" Como popularmente conhecemos esse código genético?	520 - DNA
521 - Qual texto bíblico descreve o clico natural da água? Explicando porque os mares não transbordam.	521 - Eclesiastes 1:7 Todos os rios correm para o mar; mesmo assim, o mar não fica cheio. Os rios voltam para o lugar de onde saíram, a fim de correr novamente 
522 - Verdadeiro ou Falso : Dentre os dons do Espírito Santo, falar em linguas, permitia que a pessoa falasse a lingua dos anjos.	522 - Falso - Veja Atos 2:4-8
523 - Quem é o Antigo de Dias mencionado em Daniel 7:9	523 -  Deus não teve começo. Ele já existia antes de qualquer coisa ou pessoa. Leia Salmo 90:2
524 - Verdadeiro ou Falso: - Um dos títulos de Jeová: "Ciumento"	524 - TNM com Ref. Exôdo 34:14 Pois, não deves prostrar-te diante de qualquer outro deus, porque Jeová, cujo nome é Ciumento, é um Deus ciumento 
