1- O que se refere a palavra pentateuco?	1- it-3 p. 223 / Pentateuco: refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.	Você apoiou a designação de limpeza do Salão do Reino. PARABÊNS, AVANCE 02 CASAS !!!
380 - Segundo o relato bíblico, qual a localidade em que os discípulos de Cristo, por orientação divina, passaram a ser chamados "Cristãos"? ( A) Jerusalém (B) Belém (C ) Roma (D) Cesaréia (E) Antioquia	380 - Antioquia (Atos 11:26)	
381 - Segundo João Batista: "Eu vos batizei com água, mas aquele que vem depois de mim, vos batizará com..."	381 - Espirito Santo (Marcos 1:8)	
382 - Complete a expressão de Jesus resgitada em Atos 1:8 : "...e serão minhas testemunhas em Jerusalém, em toda Judéia e Samaria, e até..."	382 - ...a parte mais distante da terra." (Atos 1:8)	
383 - Qual era o numero aproximado de pessoas que a escrituras mencionam, que se reuniram junto aos apóstolos após o regresso de Jesus Cristo aos céus? (A) 70 (B) 120 (C ) 3.000 (D) 5.000 (E) pouco mais de 20 pessoas.	383 - 120 pessoas (Atos 1:15)	
384 - A cor do cavalo que simboliza a fome em Apocalispe.	384 - (Apocalipse 6:5, 6)  PRETO	
385 - Rei que ordenou a matança de bebês após o nascimento de Jesus. 	385 - (Mateus 2:16) HERODES	
386 - Local onde Moisés golpeou o rochedo. 	386 - (Êxodo 17:1-7; Salmo 81:7) MERIBA	
387 - Quem sou? Sou de Cesareia. Oficial do regimento Italiano. Sou devoto, temente a Deus assim como os de minha casa. Além disso, presto muitas ajudas aos pobres. Já tive uma visão de um anjo.	387 - Cornélio ( Atos 10:1-3)	
388 - Fale um pouco sobre o texto bíblico de Atos 10;34,35	388 - Resposta Livre	
389 - Qual foi o sinal vindo do céu, que Pedro recebeu ao estar em transe (visão), provando que Jeová passaria a aceitar os incircuncisos (homens das nações)? Literalmente, o que ele viu?	389 - Viu Um grande lençol de linho e nele todo tipo de répteis de terra e de aves do céu. Além da voz do anjo (Atos 11:5).	
390 - Execução rítmica de movimentos, acompanhada de música. 	390 - (Salmo 150:4)  DANÇA	
391 - Profeta de Israel que foi alimentado por corvos. 	391 - (1 Reis 17:1-6)  ELIAS	
392 - Em vez de nos permitir ser 'vencidos pelo mal', o que Paulo nos aconselha a fazer? 	392. (Romanos 12:21 ) A ‘persistir em vencer o mal com o bem’ 	
393 - O que Jesus quis dizer com a declaração: "Se alguém sob autoridade te obrigar a prestar serviço por mil passos, vai com ele dois mil"? 	393. (Mateus 5:41 ) Ele estava ilustrando a necessidade de submissão voluntária a exigências legítimas	
394 - VERDADEIRO OU FALSO -  Paulo aconselhou que as esposas cristãs se adornassem, em vez de com trançados dos cabelos e ornamentos de ouro, mas que tivessem vestimenta incorruptível e um espirito quieto e brando. 	394. FALSO (1 Pedro 3:3, 4), Apóstolo Pedro.  	
395 - VERDADEIRO OU FALSO -  Isaías chamou Abraão de pedra principal, querendo dizer que era o pai humano da nação de Israel?	395. FALSO - (Isaías 51:1)   O chamou de “A rocha de que fostes talhados”	
396 - Por que Davi, quando estava na caverna de Adulão, recusou-se a beber a água que três guerreiros foram buscar em Belém? 	396. (2 Samuel 23:15-17)  Porque ela representava o sangue deles, que haviam arriscado para obtê-la	
397 - O que Bate-Seba estava fazendo quando Davi a viu pela primeira vez? 	397. (2 Samuel 11:2)  Tomando banho	
		
399 - Como Jeová removeu os gafanhotos da oitava praga, de forma que não restou nenhum deles no Egito? 	399. (Êxodo 10:19)  Um fortíssimo vento ocidental os varreu para o mar Vermelho	
400 - Porque o Rei Saul perdeu o favor aos olhos de Jeová?	400. (1 Crônicas 10:13)  Ele agiu de modo infiel para com Jeová por não seguir Suas instruções e por consultar uma médium espírita	
401 - Em que cidade portuária Paulo fez baldeação como prisioneiro com destino a Roma? Putéoli, Siracusa, Bons Portos, Mirra, NDA	401. (Atos 27:5)  Mirra, na Lícia	
402 - Como Jeová mostrou preocupação para com as viúvas e com os meninos órfãos de pai no antigo Israel? 	402. (Êxodo 22:22-24; Deuteronômio 24:17-21) Ele fez provisões para o seu bem-estar e sustento	
403 - Que nome foi dado ao campo que os sacerdotes compraram com o dinheiro que Judas lançou no templo? Campo de Megido, Campo de Sangue, Campo Sagrado, Campo da Injustiça, NDA	403. (Mateus 27:3-8; Atos 1:19) Acéldama, ou “Campo de Sangue”	
404 - Por que Pedro censurou Simão por ter oferecido dinheiro para obter a autoridade de conferir espírito santo? Porque ele não era batizado, Porque não havia recebido Esp. Santo, Porque só caberiam aos Apóstolos, NDA	404. NDA (Atos 8:20, 21)  Ele demonstrou motivação errada ao tentar comprar a “dádiva gratuita de Deus” e seu coração não era “reto à vista de Deus”	
405 - Quantos anos tinha Sara quando deu à luz Isaque? 	405. (Gênesis 17:17) Ela tinha 90 anos	
406 - Como se chamava a terra para a qual Elimeleque e sua esposa Noemi, emigraram por causa da fome, e onde seu filho Malom casou-se com Rute? Moabe, Egito, Jerusalém, Jericó, Canaã NDA	406. (Rute 1:1-4)  Moabe	
407 - Quem o apóstolo João viu "no meio dos candelabros", fornecendo-lhe mensagens para as sete congregações? 	407 -(Revelação [Apocalipse] 1:13)  Jesus Cristo.	
408 - Destacado profeta, filho de Ana e Elcana. 	408 - (1 Samuel 1:21, 22, 24-28) SAMUEL	
409 - Filho mais velho de Saul que tinha uma amizade altruísta com Davi. 	409 - (1 Samuel 14:1;18:1, 3) JONATÃ	
410 - Sogra de Rute. 	410 - (Rute 2:22)  NOEMI	
411 - Avô de Davi, filho de Boaz e Rute. 	411 - (Mateus 1:5, 6)  OBEDE	
412 - Mulher que escondeu os israelitas quando estes espionavam Jericó. 	412 - (Josué 2:1-5)  RAABE	
413 - VERDADEIRO OU FALSO - Acade foi uma das quatro cidades fundadas por Ninrode. 	413 - VERDADEIRO - (Gênesis 10:10)  ACADE	
414 - Animal importado por Salomão. 	414 - (1 Reis 10:22)  MACACO	
415 - Ela está amarrada à lei do marido enquanto este viver. 	415 - (Romanos 7:2)  ESPOSA	
		
		
		
419 - Profeta designado para proclamar os julgamentos de Jeová contra Nínive. 	419 - (Jonas 1:1, 2)  JONAS	
420 - Mulher judia, irmã de Maria e Lázaro de Betânia. 	420 - (João 11:1, 2)  MARTA	
421 - Monte onde Baraque reuniu 10.000 homens para lutar contra Sísera. Tabor, Horebe, Ailão, Mor, Sinai, Fuji.	421 - (Juízes 4:6, 12) TABOR	
422 - Juiz de Israel que matou 600 filisteus com uma aguilhada de gado. Sansão, Gideão, Sangar, Jefté, NDA	422 - (Juízes 3:31)  SANGAR	
423 - Profeta, filho de Amoz e contemporâneo dos reis Uzias, Jotão, Acaz e Ezequias.  Jeremias, Amós, Sofonias, Isaias, Obadias	423 – (Isaías 1:1)  ISAÍAS	
424 - VERDADEIRO OU FALSO - Jael cravou uma estaca de tenda na cabeça em Sísera chefe do exército inimigo.	424 - (Juízes 5:24-27)  SÍSERA	
425 - Primeiro elemento do nome composto do eunuco etíope Meleque que tirou Jeremias da cisterna lamacenta. 	425 - (Jeremias 38:7-13)  EBEDE	
426 - Última letra do alfabeto grego, usada como título aplicado a Jeová.	426 - Revelação 1:8,   ÔMEGA	
		
428 - VERDADEIRO OU FALSO - Filemon foi um apóstata do primeiro século, mencionado por Paulo como falso instrutor no que se refere à ressurreição. 	428 - FALSO - (2 Timóteo 2:17, 18)  FILETO	
429 - Monte onde o anjo de Jeová apareceu a Moisés no meio de um espinheiro ardente. Sinai, Mor, Fuji, Blanc, Horebe NDA	429 - (Êxodo 3:1-5)  HOREBE	
430 - Chefe do exército sírio curado de lepra por Eliseu. Senaqueribe, Naamã, Sísera, Mordecai NDA	430 - (Lucas 4:27)  NAAMÃ	
		
432 - Cidade que, apesar de pequena, destacou-se como lugar de onde veio o Messias. 	432 - (Miquéias 5:2; João 7:42) BELÉM	
433 - Pai tanto de Baruque, secretário de Jeremias, como de Seraías, que leu a denúncia contra Babilônia. Jotão, Nerias, José, Paulo, NDA	433 - (Jeremias 32:12; 51:59-64) NERIAS	
434 - Nome aramaico de Dorcas. Sabactani, Tequel, Tabita, Teruia, NDA	434 - (Atos 9:36)  TABITA	
435 - Chefe de exército que, após a morte de Saul, estabeleceu Is-Bosete, filho de Saul, como rei em oposição a Davi. Urias, Aitofel, Abner, Baraque, NDA	435 - (2 Samuel 2:8-10)  ABNER	
436 - VERDADEIRO OU FALSO - O que Paulo, Silvano e Timóteo demonstraram ser meigos para com seus irmãos. 	436 - VERDADEIRO (1 Tessalonicenses 1:1; 2:7) MEIGOS	
437 - VERDADEIRO OU FALSO - Às ordens de Jeová, Oséias tomou uma "esposa de fornicação". 	437 - VERDADEIRO (Oséias 1:2-11)  OSEIAS	
438 - O filho de Elisabete pulou em seu ventre quando ela ouviu o cumprimento de quem?	438 - (Lucas 1:41)  MARIA	
		
440 - Terceira palavra que apareceu milagrosamente escrita na parede do salão de festas de Belsazar. 	440 - (Daniel 5:25)  Tequel	
441 - Cobrador de impostos de Jericó que se tornou discípulo de Cristo. 	441 - (Lucas 19:1, 2, 8) Zaqueu	
442 - Quantas cidades foram fundadas por Ninrode?  3 , 4 , 7 , 8 NDA 	442 - (Gênesis 10:10)  4 cidades	
443 - Esposa de Ananias. Ela e o marido foram mortos por terem conspirado e mentido. 	443 - (Atos 5:1-11)  Safira	
444 - VERDADEIRO OU FALSO - Eltanã, filho de Acbor. Foi enviado ao Egito pelo Rei Jeoiaquim para trazer de volta o profeta Urijá a fim de protegê-lo de perseguições	444 - FALSO (Jeremias 26:22, 23)  para matá-lo	
445 - VERDADEIRO OU FALSO - Antes de se tornar cristão, Paulo era um Fariseu. 	445 - VERDADEIRO - Atos 23: 6 	
		
447 - Planta de brejo. Entre estas plantas Moisés foi colocado, quando pequeno, no Nilo. Vitória Régia, Sapé, Juncos, Aguapé, Copo de Leite NDA	447 - (Êxodo 2:1-10)  junco	
448 - Nome-título aplicado a Jesus, significando "Conosco está Deus". Miguel, Ungido, Emanuel, Cristo, NDA	448 - Mateus 1:23  Emanuel	
449 - Ano de liberdade; o ano que seguia todo o ciclo de sete períodos de sete anos. 	449 - (Levítico 25:8, 10) jubileu	
450 - Hábil comandante que conduziu os israelitas à derrubada de Jericó. 	450 - (Josué 6:2, 24, 25) Josué	
451 - Enquanto estava preso, Jeremias recebeu este alimento como ração diária. 	451 - (Jeremias 37:21)  pão	
452 - Ave magnífica importada por Salomão. Ema, Pavão, Peru, Trinca-Ferro, Cheester	452 - (1 Reis 10:22)  pavão	
		
454 - VERDADEIRO OU FALSO, Aguague é o nome-título aplicado a vários reis amalequitas. 	454 - VERDADEIRO (1 Samuel 15:8)  Agague	
455 - Procurador da província romana da Judéia que manteve Paulo preso por dois anos. 	455 - (Atos 24:24-27)  Félix	
456 - Cidade filistéia e centro religioso da adoração de Dagom. 	456 - (1 Samuel 5:1, 2)  Asdode	
457 - O peixe que o ressuscitado Jesus comeu diante dos discípulos em Emaús foi preparado desta forma. 	457 - (Lucas 24:42, 43)  assado	
458 - Jonas tentou fugir de sua designação indo para essa região. 	458 - (Jonas 1:1-3)  Társis	
459 - Planta que, segundo provérbios, cobre o terreno do preguiçoso.	459 -  Provérbios 24:31  urtiga	
460 - Tanque para pisar uvas ou azeitonas. 	460 - (Números 18:30; Neemias 13:15) lagar	
461 - O que faz aquele que difama maliciosamente. 	461 - (Salmo 101:5)  calúnia	
462 - Esposa de Hamã que, junto com outros, propôs que ele erigisse uma estaca para pendurar Mordecai. 	462 - (Ester 5:14)  Zeres	
463 - Termo usado para designar a que família o sogro de Moisés pertencia. 	463 - (Juízes 1:16)  queneu	
464 - Cristão de Roma, a quem Paulo envia cumprimentos. 	464 - (Romanos 16:9)  Urbano	
465 - Termo aplicado aos que têm propósitos e objetivos similares, como no caso de Jonatã e Davi. 	465 - (2 Samuel 1:26) irmão	
466 - Ilha do Mediterrâneo, cujos habitantes, segundo seu próprio profeta, eram 'mentirosos e feras prejudiciais'.	466 - (Tito 1:10-12) Creta	
467 - Lugar onde Jesus apareceu por nós perante a pessoa de Deus. 	467 - (Hebreus 9:24) céu	
468 - Ele ajudou Arão a segurar as mãos de Moisés até Jeová dar a vitória sobre os amalequitas. 	468 - (Êxodo 17:8-13) Hur	
469 - Segundo filho que Bila, serva de Raquel, deu à luz a Jacó. 	469 - (Gênesis 35:25) Naftali	
470 - Primeira das três filhas de Jó nascidas após sua prova. 	470 - (Jó 42:13, 14) Jemima	
471 - Termo aplicado aos designados oficialmente como reis em Israel. 	471 - (1 Samuel 24:10;Salmo 18:50) ungido	
472 - Seu significado literal é "Festas de Amor". A Bíblia não descreve como eram, nem foram ordenadas por Jesus; são citadas apenas em Judas 12.	472 - Judas 12 agapes	
473 - Fabricante de panelas e vasos de barro. 	473 - (Jeremias 18:4; Isaías 29:16) oleiro	
474 - Embora os eventos citados nos Salmos 79 e 80 tenham ocorrido posteriormente, eles são atribuídos a este personagem por terem sido escritos por seus descendentes.	474 - Salmos 79 e 80 Asafe	
475 - Receptáculo aos cuidados de Judas, que continha o dinheiro dos apóstolos para ajuda aos necessitados. 	475 - (João 12:6; 13:29) caixa	
476 - Um dos três companheiros de Jó; naamatita. 	476 - (Jó 2:11) Zofar	
477 - Doença que Uzias teve em resultado de seu ato presunçoso. 	477 - (2 Crônicas 26:18, 19) lepra	
478 - Discípulo de João, o Batizador, que logo se convenceu de ter encontrado o Messias e informou isso a seu irmão Simão Pedro. 	478 - (João 1:36-41) andré	
479 - Material usado por Jesus ao curar um cego. 	479 - (João 9:6, 7) Lama	
480 - Procônsul da Acaia que não aceitou a acusação dos judeus contra Paulo, o que resultou no espancamento de Sóstenes, presidente da sinagoga. 	480 - (Atos 18:12-17) Gálio	
481 - Abner teve relações com esta concubina de Saul, após a morte deste. 	481 - (2 Samuel 3:7, 8) Rispa	
482 - Arte secreta com poder sobrenatural, condenada pela Bíblia. 	482 - (Levítico 19:26b) magia	
483 - Provavelmente nome simbólico de Babilônia. 	483 - (Jeremias 51:41) Sesaque	
484 - Designado por Jeová para atuar como porta-voz de Moisés. 	484 - (Êxodo 4:14-16) Arão	
485 - Ao profetizar que Pedro o negaria, Jesus fez menção desta ave. 	485 - (Mateus 26:34) galo	
486 - O profeta Isaías fala de se lançarem os deuses de prata e os de ouro diante desses mamíferos.	486 - (Isaías 2:20) morcego	
487 - Arma usada por Saul para tentar cravar Davi na parede. 	487 - (1 Samuel 18:10, 11) lança	
488 - Levita que se casou com Joquebede e se tornou pai de Miriã, Arão e Moisés.	488 -  (Êxodo 6:20; Números 26:59) Anrão	
489 - Cristã a quem Paulo enviou cumprimentos em Colossenses 4:15, em cuja casa se realizavam reuniões congregacionais.	489 - Colossenses 4:15 Ninfa	
490 - Parteira hebréia que recebeu de Faraó ordens de matar todos os meninos hebreus logo após seu nascimento. 	490 - (Êxodo 1:15-21) Síria	
491 - Como sinal de confirmação de que fora escolhido para ser rei, Saul devia encontrar-se com dois homens neste local e receber uma mensagem sobre as jumentas de seu pai. 	491 - (1 Samuel 10:1, 2) Zalza	
492 - Branda, macia, em se falando de língua falsa. 	492 - (Romanos 16:18) suave	
493 - Forma causativa, no imperfeito, do verbo hebraico que significa "Ele Causa que Venha a Ser".	493 -  (Gênesis 2:4, segunda nota, NM com Referências) Jeová	
494 - Comissário da cidade de Siquém, que informou Abimeleque sobre a revolta de Gaal. 	494 - (Juízes 9:30-32) Zebul	
495 - O que a resposta branda faz recuar? 	495 - (Provérbios 15:1) furor	
496 - Nome secundário ou alcunha dada a Esaú. 	496 - (Gênesis 36:1) Edom	
497 - Hastes secas de vegetais que os israelitas misturavam com barro ao fabricar tijolos. 	497 - (Êxodo 5:7) palha	
498 - Nicodemos doou mirra e esta substância para a preparação do corpo de Jesus. 	498 - (João 19:39, 40) aloés	
499 - Por ocasião de sua morte, o que José pediu aos filhos de Israel que levassem para fora do Egito quando fossem libertados? 	499 - (Gênesis 50:25) ossos	
500 - Em Ezequiel, capítulos 38 e 39, este nome é aplicado ao líder cujo ataque contra o povo de Deus é comparado a uma tempestade.	500 - Ezequiel, capítulos 38 e 39 Gogue	
501 - Acaz, com medo da conspiração siro-israelita, em vez de confiar em Jeová, tentou subornar o rei desse país e acabou tornando-se vassalo dele. 	501 - (2 Reis 16:7; 2 Crônicas 28:20) Assíria	
502 - Caverna onde os cinco reis coligados contra os gibeonitas se esconderam e ficaram encurralados até serem executados. 	502 - (Josué 10:16-26) Maquedá	
503 - Lugar onde o tesoureiro da rainha Candace estava sentado quando conversou com Filipe.	503 - (Atos 8:27-30) carro	
504 - Ilha do Mediterrâneo onde Paulo naufragou. 	504 - (Atos 27:41; 28:1) Malta	
505 - Pai do juiz Sansão. 	505 - (Juízes 13:2-7, 24) Manoá	
506 - Recipientes de pele, usados para diversos líquidos. 	506 - (Mateus 9:17) odres	
507 - Opositor de Moisés, a quem Paulo compara os apóstatas que resistem à verdade. 	507 - (2 Timóteo 3:8, 9) Janes	
508 - Material que Abraão colocou sobre Isaque quando estava para oferecê-lo em sacrifício. 	508 - (Gênesis 22:6) lenha	
509 - Criança que recebeu atenção especial de Jeová na Lei mosaica. 	509 - (Êxodo 22:22; Isaías 1:17) órfão	
510 - Província onde Paulo foi levado, pelos judeus, perante Gálio. 	510 - (Atos 18:12) Acaia	
511 - Uma das servas de Labão, que ele deu à sua filha Raquel quando esta se casou com Jacó. 	511 - (Gênesis 29:29) Bila	
512 - De acordo com o Manual Beneficie-se, qual é o 1º estudo como melhorar?	 512 - be estudo 1 p. 83-p. 85 par. 3 Leitura Exata	
513 - Em que ano foi lançado o Fotodrama da Criação, por Charles Tazze Russell?	513 - Livro O Reino de Deus já Governa Cap. 7 pag 70 paragrafo 8 /  Foi lançado em 1914. 	
514 - Em que mês e ano foi lançando o programa JWBroadcasting em Português	514 - Maio de 2015 e foi apresentado pelo irmão Stephen Lett	
515 - Qual foi o tema do congresso regional de 2016?	515 - O tema do congresso regional de 2016 foi "Continue Leal a Jeová"	
516 - Qual foi o tema do congresso regional de 2015?	516 - O tema do congresso regional de 2015 foi "Imite a Jesus"	
517 - Qual foi o tema do congresso regional de 2017? 	517- O tema do congresso regional de 2017 foi "Não desista!"	
518 - Diga o nome da cidade, cenário onde biblicamente aconteceu a história retradada no filme :  "Ande pela Fé, Não pela vista".	518 - Este filme aborda a destruição da cidade de Jerusalém. Resposta: "Jerusalém"	
519 - Na idade média, a sabedoria popular dizia que a Terra era plana. Mas, 700 AEC a Bíblia já falava sobre o circulo da terra. Qual é este texto bíblico? 	519 - Isaias 40:22 "Há Um que mora acima do circulo da Terra".	
520 - Em oração a Deus, o Rei Davi expressou o principio do papel genético ereditário de cada pessoa ao dizer:  "Teus olhos até mesmo me viram quando eu era um embrião; Todas as partes dele estavam escritas no teu livro" Como popularmente conhecemos esse código genético?	520 - DNA	
521 - Qual texto bíblico descreve o clico natural da água? Explicando porque os mares não transbordam.	521 - Eclesiastes 1:7 Todos os rios correm para o mar; mesmo assim, o mar não fica cheio. Os rios voltam para o lugar de onde saíram, a fim de correr novamente 	
522 - Verdadeiro ou Falso : Dentre os dons do Espírito Santo, falar em linguas, permitia que a pessoa falasse a lingua dos anjos.	522 - Falso - Veja Atos 2:4-8	
523 - Quem é o Antigo de Dias mencionado em Daniel 7:9	523 -  Deus não teve começo. Ele já existia antes de qualquer coisa ou pessoa. Leia Salmo 90:2	
524 - Verdadeiro ou Falso: - Um dos títulos de Jeová: "Ciumento"	524 - TNM com Ref. Exôdo 34:14 Pois, não deves prostrar-te diante de qualquer outro deus, porque Jeová, cujo nome é Ciumento, é um Deus ciumento 	
525 - Fale um pouco sobre o texto bíblico de Hebreus 4:15,16	525 - Resposta Livre	
526 - De acordo com a ilustração do Bom Samaritano, quais coisas ele colocou sobre os ferimentos do homem que precisava de ajuda?	526 - Azeite e Vinho - Lucas 10:34	
527 - Que questão Satanás levantou no Edén?	527 - Que seríamos melhores, independente de Deus. Genesís 3:4-6	
528 - Fale um pouco sobre o texto bíblico de 2ª Pedro 3:14	528 - Resposta Livre	
529 - Sobre essa mulher, Paulo disse que a sua fé era “sem qualquer hipocrisia”.	529 - Eunice (2 Timóteo 1:3-5)	
530 - VERDADEIRO OU FALSO - Uma ilha ao largo da costa de Creta, pela qual passaram o apóstolo Paulo e Lucas, se chamava Patmos.	530 - FALSO , Cauda (Atos 27:16)	
531 - Rei de Judá, zeloso pela adoração de Jeová.	531 - Ezequias (2 Reis 18:1-6)	
532 - Uma mulher quebrou o ------ de Abimeleque com uma mó.	532 - Crânio (Juízes 9:53)	
533 - Número de pessoas que sobreviveram ao Dilúvio.	533 - Oito (1 Pedro 3:20)	
534 - Usado para esmagar uvas.	534 - Tanques, Lagar ou lagares (Provérbios 3:10)	
535 - Uma das cidades da Decápolis para onde fugiram os cristãos em 66 EC	535 - Pela	
536 - O alimento principal dos israelitas durante sua peregrinação pelo ermo.	536 - Maná (Êxodo 16:35)	
537 - Davi disse que colocaria isto à sua boca, na presença dos iníquos.	537 - Mordaça (Salmo 39:1)	
538 - Outro termo para “Deus”. 7 letras (Atos 25:19, “NM”)	538 - Deidade	
539 - VERDADEIRO OU FALSO " Por essa vontade fomos santificados, por meio da oferta do CORPO de Jesus Cristo, DE UMA VEZ PARA SEMPRE”	539 - VERDADEIRO (Hebreus 10:10)	
540 - Neemias completou as muralhas de Jerusalém no mês de ----.(A) Elul (B) Fevereiro (C ) Tinsri (D) Nisã (E) NDA	540 - Elul (Neemias 6:15)	
541 - Posterioremente a serpente de cobre de Moisés tornou-se um -----.	541 - Ídolo (2 Reis 18:1-5)	
542 - Principal sacerdote perante o qual compareceu Jesus para interrogatório. (A) Melquisedeque (B) Arão ( C) Anas (D) Caifás (E) Barrabás	542 - Anas (João 18:13)	
543 - Sucessor de Elias.	543 - Eliseu (1 Reis 19:15, 16)	
544 - Sinonimo de Aviltado, imundo com 6 letras.	544 - Impuro (Romanos 14:14)	
545 - Cidade portuária da Mísia onde Paulo tomou um navio para Mitilene. (A) Troade (B) Tiro ( C ) Assos ( D) Jericó ( E) Cairo	545 - Assos (Atos 20:13, 14)	
546 - Instrumento usado para fazer pequenos furos, inclusive na orelha.	546 - Sovela (Êxodo 21:6)	
547 - VERDADEIRO OU FALSO - ...o homem, não tem nenhuma superioridade sobre os animais...	547 - VERDADEIRO (Eclesiastes 3:19).	
548 - Pense antes de responder; Livro bíblico que é uma “pronúncia contra Nínive”.	548 - Naum	
549 - ‘Fazei o máximo para vos assegurar da vossa ------- e escolha.’	549 - Chamada (2 Pedro 1:10)	
550 - Jesus ‘tem a chave de Davi, que ---- de modo que ninguém feche’.	550 - Abre (Revelação 3:7)	
551 - Sinônimo de Moças, virgens com 8 letras	551 - Donzelas (Salmo 68:25)	
552 - O que Pedro fez três vezes para com Jesus. (Mateus 26:69-75)	552 - Negou	
553 - Jesus disse haver muitas delas na casa de Seu pai. (João 14:2)	553 - Moradas	
554 - O primeiro humano a entrar em dificuldades por ‘acender-se a ira’ dele.	554 - Caim (Gênesis 4:2-11)	
555 - Título dos governantes do Egito.	555 - Faraó (Jeremias 44:29, 30)	
556 - Paulo deixou Tito em ---- ‘para designar anciãos’. (A) Roma (B) Jerusalém (C ) Creta (D ) Babilônia (E ) Corinto	556 - Creta (Tito 1:5-9)	
557 - “A expectativa adiada faz ------- o coração.”	557 - Adoecer (Provérbios 13:12)	
558 - Contemporâneo de Oséias e Isaías. (A) Jefté ( B) Habacuque (C ) Mordecai (D ) Miquéias (E) Paulo	558 - Miquéias (Jeremias 26:17, 18)	
559 - Juiz de Israel que era canhoto e eliminou o Rei Eglom. ( A ) Sansão ( B ) Jefté ( C ) Eúde ( D ) Gideão ( E )Artaxexes	559 - Eúde (Juízes 3:15-22)	
560 - O maior cataclismo da história.	560 - Dilúvio (Gênesis 7:11-24)	
561 - Usada para capinar, limpar de ervas daninhas.	561 - Enxada (Isaías 7:23-25)	
562 - .“O ciúme é podridão para os -----.”	562 - Ossos (Provérbios 14:30)	
563 - “Deus de fidelidade e sem injustiça; justo e ---- é ele.”	563 - Reto (Deuteronômio 32:4)	
564 - Certa mulher cristã de Corinto ( A) Lídia (B ) Marta ( C ) Cloe ( D)Prisca (E ) Natália	564 - Cloe (1 Coríntios 1:11)	
565 - Qual o nome do discípulo de Damasco que ganhou uma revisita da parte do Senhor? (A) Pedro (B) Saulo ( C) Ananias (D) Judas (E) Tarso	565 - Ananias (Atos 9:10)	
566 - Quem era o proprietário da residência localizada na famosa rua direita de Damasco? (A) Ananias (B) Judas (C ) Tarso (D) Saulo (E) NDA	566 - Judas (Atos 9:11)	
567 - Qual objeto Paulo foi comparado por Jesus Cristo ao ser escolhido?	567 - Vaso (Atos 9:15)	
568 - Quem curou a cegueira física de Saulo / Paulo? (A) Jesus (B) Pedro (C ) Ananias (D) O Espirito Santo veio sobre ele (E ) NDA	568 - Ananias (Atos 9:17)	
569 - Os discípulos tiveram medo do recem convertido e ex-perseguidor Saulo de Tarso. Quem fez a ponte e o apresentou, levando-o aos apóstolos? (A ) Barnabé (B) Pedro (C ) O próprio Jesus (D) Uma visão (E) Ananias	569 - Barnabé (Atos 9:27)	
570 - O que Pedro fez a Dorcas (Tabita) quando esteve em Jope? (A) Deu testemunho a ela (B) A batizou (C ) A Ressucitou (D) A Curou (E) A Encorajou	570 - A ressucitou (Atos 9:36-40)	
